"date", "low", "high", "open", "close", "volume", "range"
Sun Feb 12 2017,1008,1018.88,1018.63,1010,1315.73,10.88
Mon Feb 13 2017,985.68,1021.5,1009.99,1002.82,4721.74,35.82
Tue Feb 14 2017,992.27,1018.97,1002.88,1013.92,5910.49,26.70
Wed Feb 15 2017,1007.66,1016,1013.92,1014.53,4494.35,8.34
Thu Feb 16 2017,1013.02,1041.88,1014.58,1038.94,5996.29,28.86
Fri Feb 17 2017,1036.29,1064.6,1038.95,1057.3,6334.70,28.31
Sat Feb 18 2017,1055.6,1073.8,1057.29,1062.15,3934.75,18.20
Sun Feb 19 2017,1051.26,1067.78,1062.14,1059.88,3025.41,16.52
Mon Feb 20 2017,1051.36,1095,1059.88,1089.82,4434.44,43.64
Tue Feb 21 2017,1081.95,1132.95,1089.98,1128.29,7487.52,51.00
Wed Feb 22 2017,1104.9,1140,1129.67,1128.71,6035.82,35.10
Thu Feb 23 2017,1128.22,1197,1129.87,1186.9,7574.46,68.78
Fri Feb 24 2017,1103.32,1221.93,1185.81,1186.91,12744.92,118.61
Sat Feb 25 2017,1110,1189.49,1186.91,1158,6033.38,79.49
Sun Feb 26 2017,1130.88,1187.33,1157.98,1184.91,4454.44,56.45
Mon Feb 27 2017,1176,1198.99,1184.91,1195.81,5776.46,22.99
Tue Feb 28 2017,1179.64,1214.94,1195.84,1195.08,6720.38,35.30
Wed Mar 01 2017,1085.71,1230,1194.53,1230,8122.94,144.29
Thu Mar 02 2017,1220,1298.61,1230,1269.17,8940.26,78.61
Fri Mar 03 2017,1255.61,1294.99,1269.17,1292.86,8290.63,39.38
Sat Mar 04 2017,1226.41,1294.48,1293.06,1273.97,6385.03,68.07
Sun Mar 05 2017,1247.11,1278.99,1273.94,1278.98,3996.53,31.88
Mon Mar 06 2017,1268.78,1288,1278.63,1284.99,4763.57,19.22
Tue Mar 07 2017,1050,1288,1284.99,1237.36,10811.13,238.00
Wed Mar 08 2017,1128,1246,1237.36,1150.22,13005.73,118.00
Thu Mar 09 2017,1131.11,1214.95,1150.22,1197.3,8524.46,83.84
Fri Mar 10 2017,956.85,1360,1197.3,1109.01,25696.85,403.15
Sat Mar 11 2017,1107,1219,1111.92,1188.11,10281.24,112.00
Sun Mar 12 2017,1150,1244,1188.11,1235.58,6729.15,94.00
Mon Mar 13 2017,1206,1249,1235.27,1245.49,9584.34,43.00
Tue Mar 14 2017,1213.55,1262,1245.5,1247.42,7464.25,48.45
Wed Mar 15 2017,1240,1264.55,1247.43,1263,7273.31,24.55
Thu Mar 16 2017,1117.77,1277.27,1263.55,1175.11,16599.29,159.50
Fri Mar 17 2017,1065.74,1175.11,1175.11,1069.57,19215.39,109.37
Sat Mar 18 2017,919.44,1096,1068.78,970,23964.99,176.56
Sun Mar 19 2017,961.59,1062.92,970,1019.49,13518.29,101.33
Mon Mar 20 2017,1011,1051.97,1019.1,1044.96,8919.42,40.97
Tue Mar 21 2017,1042.68,1120,1046.75,1114.42,12493.16,77.32
Wed Mar 22 2017,985.17,1114.96,1114.42,1034.57,14577.91,129.79
Thu Mar 23 2017,1013,1057.41,1038.94,1025.14,7782.59,44.41
Fri Mar 24 2017,920.1,1030.3,1025.13,934.87,19000.19,110.20
Sat Mar 25 2017,890.05,973.99,933.93,963.72,16665.10,83.94
Sun Mar 26 2017,943.9,1005,963.72,973.08,9503.61,61.10
